Message,Image URL
"ArsenalARS Football Club plays their home matches at the Emirates Stadium in London, England, which has a seating capacity of 60704.",https://resources.premierleague.com/premierleague25/badges-alt/3.png
"Aston VillaAVL Football Club plays their home matches at the Villa Park in Birmingham, England, which has a seating capacity of 37000.",https://resources.premierleague.com/premierleague25/badges-alt/7.png
"BournemouthBOU Football Club plays their home matches at the Vitality Stadium in Bournemouth, England, which has a seating capacity of 11307.",https://resources.premierleague.com/premierleague25/badges-alt/91.png
"BrentfordBRE Football Club plays their home matches at the Gtech Community Stadium in Brentford, England, which has a seating capacity of 17250.",https://resources.premierleague.com/premierleague25/badges-alt/94.png
"Brighton and Hove AlbionBHA Football Club plays their home matches at the American Express Stadium in Falmer, England, which has a seating capacity of 31876.",https://resources.premierleague.com/premierleague25/badges-alt/36.png
"ChelseaCHE Football Club plays their home matches at the Stamford Bridge in London, England, which has a seating capacity of 40044.",https://resources.premierleague.com/premierleague25/badges-alt/8.png
"Coventry CityCOV Football Club plays their home matches at the Coventry Building Society Arena in Coventry, England, which has a seating capacity of 32000.",https://resources.premierleague.com/premierleague25/badges-alt/9.png
"Crystal PalaceCRY Football Club plays their home matches at the Selhurst Park in London, England, which has a seating capacity of 25486.",https://resources.premierleague.com/premierleague25/badges-alt/31.png
"EvertonEVE Football Club plays their home matches at the Hill Dickinson Stadium in Liverpool, England, which has a seating capacity of 52769.",https://resources.premierleague.com/premierleague25/badges-alt/11.png
"FulhamFUL Football Club plays their home matches at the Craven Cottage in London, England, which has a seating capacity of 29589.",https://resources.premierleague.com/premierleague25/badges-alt/54.png
